fold,accuracy,f1_weighted,auc_roc
1,0.8465,0.8440526275045049,0.8620569144743326
2,0.8415,0.837466048428645,0.8526409621637598
3,0.8465,0.8454187896538902,0.8582542480847566
4,0.8565,0.8549279735919717,0.8660154761849675
5,0.8625,0.85928661646458,0.868176342752614
