,precision,recall,f1-score,support
No Churn,0.9006870705808869,0.9052102950408035,0.9029430181590482,1593.0
Churn,0.6215538847117794,0.6093366093366094,0.6153846153846154,407.0
accuracy,0.845,0.845,0.845,0.845
macro avg,0.7611204776463332,0.7572734521887065,0.7591638167718318,2000.0
weighted avg,0.8438834672565235,0.845,0.8444248831944511,2000.0
